artist,artist_id,track,composer,piece_path,youtube_link,album,album_date(yyyy-mm-dd),performer_label
Vladimir Horowitz,2,"Toccata in C Major, Op. 7",Robert Schumann,".\audio\Robert_Schumann\Toccata_in_C_Major,_Op._7\19.mp3",https://www.youtube.com/watch?v=l9XfHZb0FQc,Vladimir Horowitz: The Complete Masterworks Recordings 1962-1973,1962,20
Emil Gilels,1,"Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": II. Andante con moto",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._23_in_F_Minor,_Op._57_Appassionata\II._Andante_con_moto\20.mp3",https://www.youtube.com/watch?v=gjMk3MQPhq4,Beethoven... Moonlight,1997-01-01,7
Sviatoslav Richter,0,"Piano Sonata No. 14 in A Minor, Op. 143, D. 784: III. Allegro vivace (Live)",Franz Schubert,".\audio\Franz_Schubert\Piano_Sonata_No.14_in_A_minor,_D.784\3._Allegro_vivace\2.mp3",https://www.youtube.com/watch?v=7PDO4oxGR_4,Richter Plays Schubert (Live in Moscow),2017-07-21,18
Vladimir Horowitz,2,"Nocturne in C-Sharp Minor, Op. 27, No. 1 - 2001 Remastered",Frédéric Chopin,".\audio\Frédéric_Chopin\Nocturne_No._7_in_C-Sharp_Minor,_Op._27_No._1\1.mp3",https://www.youtube.com/watch?v=ytuiGJpsW9I,"Chopin: Valse, Polonaise: Ballades, Nocturnes, Barcarolle, Études",2002-08-06,20
Vladimir Horowitz,2,"Arabeske, Op. 18",Robert Schumann,".\audio\Robert_Schumann\Arabeske,_Op._18\0.mp3",https://www.youtube.com/watch?v=jPUbBTfzOnM,"Liszt, Schumann, Beethoven & Others: Piano Works",2021-10-01,20
Alicia de Larrocha,18,"Piano Sonata in D Major, K. 311: I. Allegro con spirito",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Piano_Sonata_No.9_in_D,_K.311\1._Allegro_con_spirito\5.mp3",https://www.youtube.com/watch?v=PvfP4GC86GI,Mozart: Piano Sonatas (Complete),2003-10-17,2
Walter Gieseking,8,"6 Moments musicaux, Op. 94, D. 780: No. 3 in F Minor: Allegro moderato",Franz Schubert,".\audio\Franz_Schubert\6_Moments_musicaux,_Op.94_D.780\No.3_in_F_minor_(Allegro_moderato)\12.mp3",https://www.youtube.com/watch?v=SSh8xpUfY00,Schubert & Schumann: Piano Works,2016-04-29,21
Friedrich Gulda,24,"Piano Sonata No. 29 in B-Flat Major, Op. 106 ""Hammerklavier"": IV. Largo - Allegro risoluto",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._29_in_B-Flat_Major,_Op._106_Hammerklavier\IV._Largo_-_Allegro_risoluto\25.mp3",https://www.youtube.com/watch?v=x5VBXOeUWng,"Beehoven: Die 32 Klaviersonaten, Eroica-Variationen, Diabelli-Variationen & Sechs Bagatellen",2016-07-01,8
Mitsuko Uchida,26,"Piano Sonata No. 7 in E Flat, D. 568: 4. Allegro moderato",Franz Schubert,".\audio\Franz_Schubert\Piano_Sonata_No.7_in_E_flat,_D._568\4._Allegro_moderato\4.mp3",https://www.youtube.com/watch?v=n8eAoZvK4vw,Mitsuko Uchida plays Schubert,2004-01-01,13
Murray Perahia,13,"Impromptu No. 2 in F-Sharp Major, Op. 36",Frédéric Chopin,".\audio\Frédéric_Chopin\Impromptu_No._2_in_F-Sharp_Major,_Op._36\8.mp3",https://www.youtube.com/watch?v=CNCPhKzxBsY,"Chopin: 24 Études, Op. 10 & Op. 25 [Expanded Edition]",1985,14
Sviatoslav Richter,0,"Keyboard Sonata in E-Flat Major, Op. 92, Hob. XVI:52: III. Finale. Presto (Live)",Franz Joseph Haydn,".\audio\Franz_Joseph_Haydn\Keyboard_Sonata_in_E-Flat_Major,_Op._92,_Hob._XVI52\III._Finale._Presto\1.mp3",https://www.youtube.com/watch?v=IeBBzxbsdis,"Haydn, Schumann & Chopin: Piano Works (Live)",2011-12-01,18
Walter Gieseking,8,"Kreisleriana, Op. 16: VI. Sehr langsam",Robert Schumann,".\audio\Robert_Schumann\Kreisleriana,_Op._16\VI._Sehr_langsam\41.mp3",https://www.youtube.com/watch?v=at97UFuoyls,Schumann: Piano Works,2014-06-03,21
András Schiff,4,"15 Three-part Inventions, BWV 787/801: No. 8 in F, BWV 794",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\15_Three-part_Inventions\No._8_in_F,_BWV_794\5.mp3",https://www.youtube.com/watch?v=2tJhVE24vJ0,"Bach, J.S.: The Solo Keyboard Works",1996-01-01,3
Vladimir Horowitz,2,"Kreisleriana, Op. 16: 5. Sehr lebhaft",Robert Schumann,".\audio\Robert_Schumann\Kreisleriana,_Op._16\V._Sehr_lebhaft\2.mp3",https://www.youtube.com/watch?v=xAdVuQNInQU,"Vladimir Horowitz live at Carnegie Hall - Recital November 24, 1968: Haydn, Schumann, Rachmaninoff, Debussy, Liszt, Chopin & Moszkowski",2013,20
Friedrich Gulda,24,"Piano Sonata No. 6 in F Major, Op. 10 No. 2: I. Allegro",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No.6_in_F,_Op.10_No.2\1._Allegro\24.mp3",https://www.youtube.com/watch?v=8w3ulelzdfg,Beethoven: Complete Piano Sonatas,2021-07-23,8
Sviatoslav Richter,0,Piano Sonata No. 2 in G Major: III. Sehr langsam - Rondo. Bewegt (Live),Paul Hindemith,.\audio\Paul_Hindemith\Piano_Sonata_No._2_in_G_Major\III._Sehr_langsam_-_Rondo._Bewegt\0.mp3,https://www.youtube.com/watch?v=aY4mmYmP0cY,"Richter Archives, Vol. 20: Janáček & Hindemith (Live)",2017-05-19,18
Sviatoslav Richter,0,"Piano Sonata No. 3 in C Major, Op. 2 No. 3: IV. Allegro assai (Live)",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._3_in_C_Major,_Op._2_No._3\IV._Allegro_assai\0.mp3",https://www.youtube.com/watch?v=V6FJBT_VkoQ,"Beethoven: Piano Sonatas Nos. 3, 4 & 7 (Live)",2021-09-17,18
Vladimir Horowitz,2,"13 Preludes, Op. 32: No. 12 in G-Sharp Minor",Sergei Rachmaninoff,".\audio\Sergei_Rachmaninoff\13_Preludes,_Op._32\No._12_in_G-Sharp_Minor\8.mp3",https://www.youtube.com/watch?v=ir4CKrPoVzM,"Vladimir Horowitz in Recital at Ambassador College, Pasadena, February 22, 1976",2015-12-11,20
Artur Schnabel,23,"Beethoven: Piano Sonata No. 4 in E-Flat Major, Op. 7: III. Allegro",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._4_in_E-Flat_Major,_Op._7_Grand\III._Allegro\10.mp3",https://www.youtube.com/watch?v=zLhsVWzlbIo,Beethoven: Complete Piano Sonatas (2016 Remaster),2016-08-26,4
Friedrich Gulda,24,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: I. Presto",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._7_in_D_Major,_Op._10_No._3\I._Presto\47.mp3",https://www.youtube.com/watch?v=tVT_nOaDXAk,"Milestones of a Piano Legend: Friedrich Gulda, Vol. 9",2018-10-05,8
Walter Gieseking,8,"Invention No. 4 in D Minor, BWV 775",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\Invention_No.4_in_D_minor,_BWV775\3.mp3",https://www.youtube.com/watch?v=JQWQ5cSayUE,J.S. Bach: Piano Works (2021 Remastered Version),2021-03-26,21
Daniel Barenboim,9,"Faschingsschwank aus Wien, Op. 26: 4. Intermezzo (Colla più grande energia)",Robert Schumann,".\audio\Robert_Schumann\Faschingsschwank_aus_Wien,_Op._26\IV._Intermezzo\6.mp3",https://www.youtube.com/watch?v=9RwlJQaij5Q,Max & Maestro,2018-07-06,6
Sviatoslav Richter,0,Vers la flamme; Op. 72,Alexander Scriabin,".\audio\Alexander_Scriabin\Vers_la_flamme,_Op.72\0.mp3",https://www.youtube.com/watch?v=O--h48aovps,Sviatoslav Richter – The Early Years: Rise of a Virtuoso Legend,2017-03-31,18
Samson François,48,"Chopin: 12 Études, Op. 25: No. 9 in G-Flat Major ""Butterfly""",Frédéric Chopin,".\audio\Frédéric_Chopin\12_Études,_Op._25\No._9_in_G-Flat_Major_Butterfly_Wings\21.mp3",https://www.youtube.com/watch?v=JeONAoKsLKQ,Intégrale de des Enregistrements,2010-10-20,17
Daniel Barenboim,9,"33 Piano Variations In C, Op.120 On A Waltz By Anton Diabelli: Variation XV (Presto scherzando)",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\33_Piano_Variations_In_C,_Op._120_On_A_Waltz_By_Anton_Diabelli\Variation_XV._Presto_scherzando\4.mp3",https://www.youtube.com/watch?v=vci2Rlj0r8g,Beethoven: Diabelli Variations; Moonlight Sonata,2001-01-01,6
Glenn Gould,15,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._8_in_C_Minor,_Op._13_Pathétique\II._Adagio_cantabile\47.mp3",https://www.youtube.com/watch?v=JuFd49TCYdE,Glenn Gould plays Beethoven: Piano Sonatas Nos. 1-3; 5-10; 12-14; 15-18; 23; 30-32,1965,9
Martha Argerich,7,"Ravel: Sonatine, M. 40: II. Mouvement de menuet",Maurice Ravel,".\audio\Maurice_Ravel\Sonatine,_M._40\II._Mouvement_de_Menuet\3.mp3",https://www.youtube.com/watch?v=d_NbD8kKRLc,Martha Argerich - The Warner Classics Recordings,2016-11-04,11
Vladimir Ashkenazy,6,Variations on a Theme of Chopin: Variation 5: Meno mosso,Sergei Rachmaninoff,.\audio\Sergei_Rachmaninoff\Variations_on_a_Theme_of_Chopin\Variation_5_Meno_mosso\0.mp3,https://www.youtube.com/watch?v=YRmE07yHBBY,Rachmaninov: The Complete Recordings,2014-01-01,19
Mitsuko Uchida,26,"Piano Sonata No. 30 in E Major, Op. 109: 2. Prestissimo",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._30_in_E_Major,_Op._109\II._Prestissimo\47.mp3",https://www.youtube.com/watch?v=I7JdzbaGcyE,"Beethoven: Piano Sonatas Nos.30, 31 & 32",2006-01-01,13
Glenn Gould,15,"Partita No. 5 in G Major, BWV 829: I. Praeambulum",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\Partita_No._5_In_G_Major,_BWV_829\1._Praeambulum\17.mp3",https://www.youtube.com/watch?v=gye2Hk1iyks,"Glenn Gould plays Bach: 6 Partitas BWV 825-830; Chromatic Fantasy BWV 903; Italian Concerto BWV 971; The Art of the Fugue BWV 1080 (excerpts); Preludes, Fugues & Fantasies",1957,9
Sviatoslav Richter,0,"10 Preludes, Op. 23 (Excerpts): No. 1 in F-Sharp Minor [Live]",Sergei Rachmaninoff,".\audio\Sergei_Rachmaninoff\10_Preludes,_Op._23\No._1_in_F-Sharp_Minor_Largo\0.mp3",https://www.youtube.com/watch?v=EjzGdPiElnA,Ravel & Rachmaninoff: Piano Works (Live),2021-07-23,18
Sviatoslav Richter,0,"Piano Sonata No. 11 in B-Flat Major, Op. 22: II. Adagio con molto espressione (Recorded 1951)",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._11_in_B-Flat_Major,_Op._22\II._Adagio_con_molto_espressione\1.mp3",https://www.youtube.com/watch?v=9Z8cftY9UQc,Sviatoslav Richter Plays Beethoven,2017-09-01,18
Artur Schnabel,23,"Beethoven: Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": I. Allegro assai",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._23_in_F_Minor,_Op._57_Appassionata\I._Allegro_assai\99.mp3",https://www.youtube.com/watch?v=n3qn6Y_uwvk,Icon: Artur Schnabel,2009-03-23,4
Murray Perahia,13,"Ballade No. 1 in G Minor, Op. 23",Frédéric Chopin,".\audio\Frédéric_Chopin\Ballade_No._1_in_G_Minor,_Op._23\61.mp3",https://www.youtube.com/watch?v=uBRqwbZ7kRM,"Ballades; Waltzes Op.18 & 42; Nocturne, Op.15 No.1; Mazurkas Op.7 No.3, Op.17 No.4, Op.33 No.2; Etudes Op.10 Nos.3 & 4",1994-10-24,14
Emil Gilels,1,"Piano Sonata No.15 In D, Op.28 -""Pastorale"": 4. Rondo. Allegro ma non troppo",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No.15_in_D,_Op.28_-Pastorale\4._Rondo._Allegro_ma_non_troppo\0.mp3",https://www.youtube.com/watch?v=1OmyrUyt7fk,Beethoven: The Piano Sonatas,2006-01-01,7
Murray Perahia,13,"English Suite No. 6 in D Minor, BWV 811: II. Allemande",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\English_Suite_No.6_in_D_minor,_BWV_811\2._Allemande\7.mp3",https://www.youtube.com/watch?v=fftr0S_tgS0,"Bach: English Suites Nos. 1, 3 & 6",1998-03-04,14
Emil Gilels,1,"Piano Sonata No. 23 in F Minor, Op. 57, ""Appassionata"": II. Andante con moto",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._23_in_F_Minor,_Op._57_Appassionata\II._Andante_con_moto\17.mp3",https://www.youtube.com/watch?v=jceYsJNl_q4,Emil Gilels: Recital in Florence (1951),2012-04-01,7
Mitsuko Uchida,26,"Waldszenen, Op. 82: 8. Jagdlied",Robert Schumann,".\audio\Robert_Schumann\Waldszenen,_Op._82\8._Jagdlied\11.mp3",https://www.youtube.com/watch?v=-xxWX02XpvY,Schumann: G Minor Sonata; Waldszenen; Gesänge der Frühe,2013-01-01,13
Alfred Brendel,19,"Piano Sonata No. 31 in A-Flat Major, Op. 110: III. Adagio ma non troppo - Fuga, Allegro ma non troppo",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._31_in_A-Flat_Major,_Op._110\IV._Fuga._Allegro_ma_non_troppo\18.mp3",https://www.youtube.com/watch?v=s7TIC2PjE_g,"Beethoven: Piano Sonatas No. 28, No. 30, No. 31",1991-01-04,0
Emil Gilels,1,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._8_in_C_Minor,_Op._13_Pathétique\III._Rondo._Allegro\9.mp3",https://www.youtube.com/watch?v=0qrzaK9b8ek,"Beethoven: Piano Sonatas Nos. 4, 8 & 10",2005-10-10,7
Walter Gieseking,8,"Beethoven: Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": III. Allegro ma non troppo - Presto",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._23_in_F_Minor,_Op._57_Appassionata\III._Allegro_ma_non_troppo_-_Presto\31.mp3",https://www.youtube.com/watch?v=uRGoG-bOoWo,"Beethoven: Piano Sonatas Nos 21, ""Waldstein"", 23, ""Appassionata"", 30 & 31",2001-01-01,21
Friedrich Gulda,24,"Piano Sonata No. 29 in B-Flat Major, Op. 106 ""Hammerklavier"": I. Allegro (Live)",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._29_in_B-Flat_Major,_Op._106_Hammerklavier\I._Allegro\56.mp3",https://www.youtube.com/watch?v=AwcBjL-PmaI,Friedrich Gulda: The Stuttgart Solo Recitals (Live),2019-09-13,8
Sviatoslav Richter,0,Valses nobles et sentimentales,Maurice Ravel,".\audio\Maurice_Ravel\Valses_nobles_et_sentimentales,_M._61\1.mp3",https://www.youtube.com/watch?v=-Su_xYZsj2s,Sviatoslav Richter – The Early Years: Rise of a Virtuoso Legend,2017-03-31,18
Vladimir Horowitz,2,"Waltz No. 3 in A Minor, Op. 34, No. 2",Frédéric Chopin,".\audio\Frédéric_Chopin\Waltz_No.3_in_A_Minor,_Op.34_No.2\0.mp3",https://www.youtube.com/watch?v=5MuUWepPY6E,Vladimir Horowitz: Last of the Romantics,2014-12-09,20
Martha Argerich,7,"Schumann: Kinderszenen, Op. 15: No. 11, Fürchtenmachen (Live)",Robert Schumann,".\audio\Robert_Schumann\Kinderszenen,_Op._15\11._Fürchtenmachen\21.mp3",https://www.youtube.com/watch?v=-ABKLMdZUN8,Martha Argerich - Solo & Duo piano,2011-05-09,11
Walter Gieseking,8,"Piano Sonata No. 7 in C Major, K. 309: III. Rondo. Allegretto grazioso",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Piano_Sonata_No._7_in_C,_K.309\3._Rondeau_(Allegretto_grazioso)\2.mp3",https://www.youtube.com/watch?v=hqaC4aZnapA,Mozart: Complete Solo Piano Works,2018-06-15,21
Martha Argerich,7,"Jeux d'eau, M. 30",Maurice Ravel,".\audio\Maurice_Ravel\Jeux_d'eau,_M._30\9.mp3",https://www.youtube.com/watch?v=Rh2dJ5v6k60,The Successful Beginning,2018-08-17,11
Nikolai Lugansky,41,"Piano Sonata No. 1 in D Minor, Op. 28: I. Allegro moderato",Sergei Rachmaninoff,".\audio\Sergei_Rachmaninoff\Piano_Sonata_No.1_in_D_minor,_Op.28\1._Allegro_moderato\2.mp3",https://www.youtube.com/watch?v=Wf6w9Xcsihc,Rachmaninov: Sonatas,2012-10-01,15
Walter Gieseking,8,"Ravel: Gaspard de la nuit, M. 55: I. Ondine",Maurice Ravel,".\audio\Maurice_Ravel\Gaspard_de_la_nuit,_M.55\Ondine\20.mp3",https://www.youtube.com/watch?v=D6ITVSddVQs,Walter Gieseking - Icon,2009-03-23,21
Alfred Brendel,19,"33 Piano Variations in C, Op.120 on a Waltz by Anton Diabelli: Variation XXXI (Largo, molto espressivo)",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\33_Piano_Variations_In_C,_Op._120_On_A_Waltz_By_Anton_Diabelli\Variation_XXXI._Largo,_molto_espressivo\7.mp3",https://www.youtube.com/watch?v=8MZ7-Hh7JVg,Alfred Brendel - Live,2007-01-01,0
Murray Perahia,13,"Piano Sonata No. 10 in G Major, Op. 14 No. 2: III. Scherzo. Allegro assai",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._10_in_G_Major,_Op._14_No._2\III._Scherzo._Allegro_assai\19.mp3",https://www.youtube.com/watch?v=GqD1JPn2l9E,"Beethoven: Piano Sonatas, Opp. 14, 26 & 28",2008-11-07,14
Alfred Brendel,19,"8 Fantasiestücke, Op. 12: 8. Ende vom Lied",Robert Schumann,".\audio\Robert_Schumann\8_Fantasiestücke,_Op._12\8._Ende_vom_Lied\15.mp3",https://www.youtube.com/watch?v=S5-BSstevn8,Alfred Brendel: Steinway Legends,2007-01-01,0
Glenn Gould,15,"Piano Sonata No. 11 in A Major, K. 331: III. Alla Turca - Allegretto - Remastered",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Piano_Sonata_No._11_in_A_Major,_K._331\3._Alla_Turca._Allegretto\12.mp3",https://www.youtube.com/watch?v=N77Pwc9PY-I,"Mozart: Piano Sonatas Nos. 11, 15 & 16; Fantasia in D Minor (Gould Remastered)",1973,9
Mitsuko Uchida,26,"Kreisleriana, Op.16: 2. Sehr innig und nicht zu rasch - Intermezzo I (Sehr lebhaft) - Tempo I - Intermezzo II (Etwas bewegter) - Tempo I",Robert Schumann,".\audio\Robert_Schumann\Kreisleriana,_Op._16\II._Sehr_innig_und_nicht_zu_rasch\34.mp3",https://www.youtube.com/watch?v=OD4ACgr1Qc4,Schumann: Carnival / Kreisleriana,1995-01-01,13
András Schiff,4,"French Suite No. 6 in E, BWV 817: 5. Polonaise",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\French_Suite_No.6_in_E,_BWV_817\5._Polonaise\1.mp3",https://www.youtube.com/watch?v=BSERfKFLMVM,"Bach, J.S.: The Solo Keyboard Works",1996-01-01,3
András Schiff,4,"English Suite No. 2 In A Minor, BWV 807: 2. Allemande",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\English_Suite_No.2_in_A_minor,_BWV_807\2._Allemande\0.mp3",https://www.youtube.com/watch?v=WuLqjIV5CSg,Bach: Solo Keyboard Works,2003-01-01,3
Sviatoslav Richter,0,"Faschingsschwank aus Wien, Op. 26: I. Allegro. Sehr lebhaft",Robert Schumann,".\audio\Robert_Schumann\Faschingsschwank_aus_Wien,_Op._26\I._Allegro\0.mp3",https://www.youtube.com/watch?v=0bqUPv4PIko,Sviatoslav Richter Plays Schumann & Brahms,2018-03-23,18
Robert Casadesus,21,"Piano Sonata No. 12 in F Major, K.332/300k: III. Allegro assai",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Piano_Sonata_No.12_in_F,_K.332\1._Allegro\23.mp3",https://www.youtube.com/watch?v=f2ByflncLxE,"Mozart: Piano Concertos Nos. 21, 24 & Piano Sonata No. 12",1965,16
Glenn Gould,15,"Goldberg Variations, BWV 988: Variatio 21. Canone alla Settima. A 1 Clav.",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\Goldberg_Variations,_BWV_988\Var._18_Canone_alla_Sesta_a_1_Clav\6.mp3",https://www.youtube.com/watch?v=hZLoxHtcmNc,Glenn Gould Plays Bach,2010-06-24,9
Claudio Arrau,11,"Piano Sonata No.5 in C minor, Op.10 No.1: 2. Adagio molto",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No.5_in_C_minor,_Op.10_No.1\2._Adagio_molto\10.mp3",https://www.youtube.com/watch?v=kCIjwjxt40k,Beethoven: The Complete Piano Sonatas & Concertos,1998-01-01,5
Emil Gilels,1,"Lyric Pieces Book I, Op. 12: No. 1 Arietta",Edvard Grieg,".\audio\Edvard_Grieg\Lyric_Pieces,_Book_1,_Op._12\No._1,_Arietta\2.mp3",https://www.youtube.com/watch?v=hn9EWqrmJh4,Grieg: Lyric Pieces,1974-01-01,7
Lang Lang,39,"12 Etudes, Op. 8: No. 10 in D-Flat Major",Alexander Scriabin,".\audio\Alexander_Scriabin\12_Etudes,_Op._8\No._10_in_D-Flat_Major\4.mp3",https://www.youtube.com/watch?v=HnV-dR_xJmw,"Rachmaninoff: Piano Concerto No. 3 in D Minor, Op. 30 - Scriabin: Etudes",2002-04-23,10
